0	0	0	0	0	0
1	8	0	0	0	0
2	13.3333	0	0	0	0
3	20	0	0	0	0
4	0	7.5	0	0	0
5	20	7.5	0	0	0
6	0	15	0	0	0
7	8	15	0	0	0
8	13.3333	15	0	1	0
9	20	15	0	0	0
10	0	23	0	0	0
11	7.9925	23	0	0	0
12	0	31	0	0	0
13	7.9925	31	0	2	0
14	0	39	0	0	0
15	7.9925	39	0	0	0
16	0	47	0	0	0
17	7.9925	47	0	0	0
18	0	55	0	0	0
19	8	55	0	0	0
20	13.3333	55	0	0	0
21	20	55	0	0	0
22	0	62.5	0	0	0
23	20	62.5	0	0	0
24	0	70	0	0	0
25	8	70	0	0	0
26	13.3333	70	0	0	0
27	20	70	0	0	0
28	0	0	3	0	0
29	8	0	3	3	0
30	13.3333	0	3	0	0
31	20	0	3	0	0
32	0	7.5	3	0	0
33	20	7.5	3	0	0
34	0	15	3	0	0
35	8	15	3	0	0
36	13.3333	15	3	0	0
37	20	15	3	0	0
38	0	23	3	0	0
39	7.9925	23	3	0	0
40	0	31	3	0	0
41	7.9925	31	3	0	0
42	0	39	3	0	0
43	7.9925	39	3	0	0
44	0	47	3	0	0
45	7.9925	47	3	0	0
46	0	55	3	0	0
47	8	55	3	0	0
48	13.3333	55	3	0	0
49	20	55	3	0	0
50	0	62.5	3	0	0
51	20	62.5	3	0	0
52	0	70	3	0	0
53	8	70	3	0	0
54	13.3333	70	3	0	0
55	20	70	3	0	0
56	0	0	6	0	0
57	8	0	6	0	0
58	13.3333	0	6	0	0
59	20	0	6	0	0
60	0	7.5	6	0	0
61	20	7.5	6	0	0
62	0	15	6	0	0
63	8	15	6	0	0
64	13.3333	15	6	0	0
65	20	15	6	0	0
66	0	23	6	0	0
67	7.9925	23	6	0	0
68	0	31	6	0	0
69	7.9925	31	6	0	0
70	0	39	6	0	0
71	7.9925	39	6	0	0
72	0	47	6	0	0
73	7.9925	47	6	0	0
74	0	55	6	0	0
75	8	55	6	0	0
76	13.3333	55	6	0	0
77	20	55	6	0	0
78	0	62.5	6	0	0
79	20	62.5	6	0	0
80	0	70	6	0	0
81	8	70	6	0	0
82	13.3333	70	6	0	0
83	20	70	6	0	0
84	0	0	9	0	0
85	8	0	9	0	0
86	13.3333	0	9	0	0
87	20	0	9	0	0
88	0	7.5	9	0	0
89	20	7.5	9	0	0
90	0	15	9	0	0
91	8	15	9	0	0
92	13.3333	15	9	0	0
93	20	15	9	0	0
94	0	23	9	0	0
95	7.9925	23	9	0	0
96	0	31	9	0	0
97	7.9925	31	9	0	0
98	0	39	9	0	0
99	7.9925	39	9	0	0
100	0	47	9	0	0
101	7.9925	47	9	6	0
102	0	55	9	0	0
103	8	55	9	0	0
104	13.3333	55	9	0	0
105	20	55	9	0	0
106	0	62.5	9	0	0
107	20	62.5	9	0	0
108	0	70	9	0	0
109	8	70	9	0	0
110	13.3333	70	9	0	0
111	20	70	9	0	0
112	0	0	12	0	0
113	8	0	12	0	0
114	13.3333	0	12	0	0
115	20	0	12	5	0
116	0	7.5	12	0	0
117	20	7.5	12	0	0
118	0	15	12	0	0
119	8	15	12	0	0
120	13.3333	15	12	0	0
121	20	15	12	0	0
122	0	23	12	0	0
123	7.9925	23	12	0	0
124	0	31	12	0	0
125	7.9925	31	12	4	0
126	0	39	12	0	0
127	7.9925	39	12	0	0
128	0	47	12	0	0
129	7.9925	47	12	0	0
130	0	55	12	0	0
131	8	55	12	0	0
132	13.3333	55	12	0	0
133	20	55	12	0	0
134	0	62.5	12	0	0
135	20	62.5	12	0	0
136	0	70	12	0	0
137	8	70	12	0	0
138	13.3333	70	12	0	0
139	20	70	12	0	0
