0	28
1	29
2	30
3	31
4	32
5	33
6	34
7	35
8	36
9	37
10	38
11	39
12	40
13	41
14	42
15	43
16	44
17	45
46	18
19	47
20	48
21	49
22	50
23	51
24	52
25	53
26	54
27	55
28	29
32	28
28	56
29	30
29	57
30	31
30	58
31	37
31	59
34	32
32	60
33	61
34	37
34	46
34	62
35	47
35	63
36	64
37	65
38	66
39	67
40	68
41	69
42	70
43	71
44	72
45	73
46	49
52	46
74	46
47	75
48	76
49	55
49	77
50	78
51	79
52	55
52	80
53	81
54	82
55	83
56	57
60	56
56	84
57	58
57	85
58	59
58	86
59	65
59	87
62	60
60	88
61	89
62	65
62	74
62	90
63	75
63	91
64	92
65	93
66	94
67	95
68	96
69	97
70	98
71	99
72	100
73	101
74	77
80	74
102	74
75	103
76	104
77	83
77	105
78	106
79	107
80	83
80	108
81	109
82	110
83	111
84	85
88	84
84	112
85	86
85	113
86	87
86	114
87	93
87	115
90	88
88	116
89	117
90	93
90	102
90	118
91	103
91	119
92	120
93	121
94	122
95	123
96	124
97	125
98	126
99	127
100	128
101	129
102	105
108	102
130	102
103	131
104	132
105	111
105	133
106	134
107	135
108	111
108	136
109	137
110	138
111	139
112	113
116	112
113	114
114	115
115	121
118	116
118	121
118	130
119	131
130	133
136	130
133	139
136	139
